InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV516791,SC95175,GLASS VASE,20,2023-12-21,1.5,CUST0051,United Kingdom
INV432043,SC92155,CERAMIC PLANT POT,18,2023-07-14,2.0,CUST0052,Germany
INV137642,SC90931,WICKER BASKET,16,2023-10-05,3.0,CUST0052,Germany
INV817644,SC47667,BLUE CERAMIC MUG,8,2023-11-20,1.25,CUST0052,Germany
INV203225,SC93066,COTTON TOTE BAG,3,2023-08-11,1.0,CUST0052,Germany
INV274446,SC49251,WICKER BASKET,4,2023-08-16,3.0,CUST0052,Germany
INV440131,SC17355,KNITTED BLANKET,1,2023-01-24,4.5,CUST0052,Germany
INV356059,SC79621,GLASS VASE,14,2023-03-16,1.5,CUST0053,Australia
INV931016,SC33600,METAL KEYCHAIN,19,2023-12-16,0.5,CUST0053,Australia
INV739098,SC60140,VINTAGE LAMP,6,2023-02-10,3.75,CUST0053,Australia
INV711484,SC28758,BAMBOO CUTTING BOARD,8,2023-09-12,1.75,CUST0053,Australia
INV366314,SC70236,COTTON TOTE BAG,15,2023-11-23,1.0,CUST0053,Australia
INV401603,SC98815,WOODEN PHOTO FRAME,1,2023-08-27,2.0,CUST0053,Australia
INV716113,SC49210,BLUE CERAMIC MUG,15,2023-06-26,1.25,CUST0054,Italy
INV362246,SC69878,ENAMEL PIN SET,14,2023-12-20,0.75,CUST0054,Italy
INV503380,SC73335,CERAMIC PLANT POT,10,2023-04-12,2.0,CUST0054,Italy
INV702733,SC48780,METAL KEYCHAIN,19,2023-07-03,0.5,CUST0055,Germany
INV970357,SC96275,WICKER BASKET,10,2023-01-12,3.0,CUST0055,Germany
INV693419,SC99889,METAL KEYCHAIN,9,2023-01-05,0.5,CUST0055,Germany
INV881369,SC75107,PAPER NOTEBOOK,2,2023-11-07,0.85,CUST0055,Germany
INV767542,SC34920,BAMBOO CUTTING BOARD,12,2023-04-23,1.75,CUST0056,Australia
INV892280,SC96400,BAMBOO CUTTING BOARD,9,2023-12-14,1.75,CUST0056,Australia
INV201883,SC92242,ENAMEL PIN SET,5,2023-11-18,0.75,CUST0056,Australia
INV926918,SC67779,ENAMEL PIN SET,2,2023-06-08,0.75,CUST0056,Australia
INV409445,SC52823,WICKER BASKET,5,2023-02-16,3.0,CUST0057,United Kingdom
INV310548,SC27322,WICKER BASKET,14,2023-03-31,3.0,CUST0057,United Kingdom
INV656639,SC75771,PAPER NOTEBOOK,18,2023-07-07,0.85,CUST0057,United Kingdom
INV369452,SC73156,KNITTED BLANKET,9,2023-03-26,4.5,CUST0057,United Kingdom
INV943298,SC25095,PAPER NOTEBOOK,10,2023-06-23,0.85,CUST0057,United Kingdom
INV890785,SC39571,LEATHER WALLET,3,2023-03-14,5.0,CUST0057,United Kingdom
INV377304,SC80329,BLUE CERAMIC MUG,13,2023-01-08,1.25,CUST0058,Canada
INV805511,SC98125,BLUE CERAMIC MUG,15,2023-07-08,1.25,CUST0058,Canada
INV962367,SC93695,WOODEN PHOTO FRAME,19,2023-07-15,2.0,CUST0058,Canada
INV345180,SC71797,GLASS VASE,4,2023-12-12,1.5,CUST0058,Canada
INV443939,SC89964,RED WOOL SCARF,20,2023-10-15,2.5,CUST0058,Canada
INV963874,SC70852,COTTON TOTE BAG,3,2023-11-22,1.0,CUST0058,Canada
INV139019,SC49893,BLUE CERAMIC MUG,5,2023-01-24,1.25,CUST0059,Australia
INV346205,SC80457,LEATHER WALLET,4,2023-02-19,5.0,CUST0059,Australia
INV489033,SC97881,VINTAGE LAMP,13,2023-08-21,3.75,CUST0059,Australia
INV715870,SC30253,WICKER BASKET,18,2023-08-03,3.0,CUST0059,Australia
INV203831,SC74139,KNITTED BLANKET,14,2023-12-02,4.5,CUST0059,Australia
INV134305,SC58566,BAMBOO CUTTING BOARD,14,2023-05-24,1.75,CUST0059,Australia
INV347582,SC57537,COTTON TOTE BAG,15,2023-08-16,1.0,CUST0059,Australia
INV517479,SC46160,SILK CUSHION,12,2023-02-01,2.25,CUST0060,Germany
INV196126,SC96870,COTTON TOTE BAG,4,2023-08-21,1.0,CUST0060,Germany
INV153035,SC53713,COTTON TOTE BAG,20,2023-01-11,1.0,CUST0060,Germany
INV315173,SC18992,COTTON TOTE BAG,5,2023-10-17,1.0,CUST0060,Germany
INV714867,SC38305,CERAMIC PLANT POT,18,2023-04-17,2.0,CUST0060,Germany
INV911984,SC29340,CERAMIC PLANT POT,8,2023-06-18,2.0,CUST0060,Germany
INV666456,SC42853,WOODEN PHOTO FRAME,5,2023-03-08,2.0,CUST0061,Japan
INV115582,SC56955,ENAMEL PIN SET,1,2023-03-09,0.75,CUST0062,France
INV439498,SC12068,PAPER NOTEBOOK,8,2023-10-29,0.85,CUST0062,France
INV651640,SC24896,RED WOOL SCARF,5,2023-08-04,2.5,CUST0063,France
INV570050,SC57453,WICKER BASKET,3,2023-09-01,3.0,CUST0063,France
INV573962,SC76039,SILK CUSHION,19,2023-02-25,2.25,CUST0063,France
INV862569,SC96363,COTTON TOTE BAG,20,2023-01-23,1.0,CUST0063,France
INV774591,SC14082,SILK CUSHION,10,2023-08-23,2.25,CUST0063,France
INV819425,SC24150,CERAMIC PLANT POT,13,2023-08-07,2.0,CUST0064,United Kingdom
INV184714,SC52219,LEATHER WALLET,15,2023-02-07,5.0,CUST0064,United Kingdom
INV232321,SC46046,BAMBOO CUTTING BOARD,5,2023-02-03,1.75,CUST0064,United Kingdom
INV846746,SC52622,BAMBOO CUTTING BOARD,19,2023-10-08,1.75,CUST0064,United Kingdom
INV409222,SC69469,METAL KEYCHAIN,20,2023-09-29,0.5,CUST0064,United Kingdom
INV203996,SC24996,SILK CUSHION,20,2023-08-09,2.25,CUST0064,United Kingdom
INV550961,SC69186,CERAMIC PLANT POT,18,2023-04-21,2.0,CUST0064,United Kingdom
INV455395,SC69441,KNITTED BLANKET,8,2023-07-31,4.5,CUST0064,United Kingdom
INV547494,SC50963,WICKER BASKET,4,2023-06-10,3.0,CUST0065,Canada
INV260053,SC72163,ENAMEL PIN SET,9,2023-07-11,0.75,CUST0065,Canada
INV197758,SC66606,BLUE CERAMIC MUG,3,2023-02-13,1.25,CUST0065,Canada
INV683397,SC17861,BLUE CERAMIC MUG,12,2023-03-08,1.25,CUST0065,Canada
INV445658,SC97819,BAMBOO CUTTING BOARD,18,2023-10-15,1.75,CUST0065,Canada
INV797660,SC65435,BLUE CERAMIC MUG,14,2023-07-01,1.25,CUST0065,Canada
INV729575,SC50953,CERAMIC PLANT POT,2,2023-05-28,2.0,CUST0065,Canada
INV262246,SC96079,BAMBOO CUTTING BOARD,17,2023-04-19,1.75,CUST0066,USA
INV467121,SC82910,LEATHER WALLET,8,2023-02-25,5.0,CUST0066,USA
INV337144,SC66244,PAPER NOTEBOOK,9,2023-10-21,0.85,CUST0067,USA
INV743378,SC98470,CERAMIC PLANT POT,18,2023-11-15,2.0,CUST0067,USA
INV289179,SC45818,BAMBOO CUTTING BOARD,9,2023-01-15,1.75,CUST0068,Italy
INV250210,SC84228,GLASS VASE,1,2023-04-03,1.5,CUST0069,Australia
INV248766,SC92991,ENAMEL PIN SET,13,2023-02-05,0.75,CUST0069,Australia
INV325583,SC59308,RED WOOL SCARF,3,2023-09-29,2.5,CUST0069,Australia
INV265055,SC58503,METAL KEYCHAIN,15,2023-06-24,0.5,CUST0069,Australia
INV725185,SC21135,WOODEN PHOTO FRAME,11,2023-10-18,2.0,CUST0069,Australia
INV265056,SC90981,KNITTED BLANKET,2,2023-03-21,4.5,CUST0069,Australia
INV544611,SC73656,WOODEN PHOTO FRAME,15,2023-12-05,2.0,CUST0070,United Kingdom
INV386436,SC38255,BAMBOO CUTTING BOARD,15,2023-08-01,1.75,CUST0070,United Kingdom
